iter	Passed	Remaining
225	928	3180
226	933	3178
227	936	3170
228	939	3162
229	942	3154
230	945	3148
231	949	3142
232	952	3134
233	955	3127
234	958	3120
235	962	3115
236	965	3107
237	968	3099
238	971	3092
239	974	3084
240	978	3082
241	982	3076
242	985	3068
243	988	3061
244	990	3053
245	994	3047
246	997	3040
247	1000	3033
248	1003	3026
249	1006	3019
250	1010	3014
251	1013	3007
252	1016	3001
253	1019	2994
254	1022	2987
255	1026	2983
256	1029	2976
257	1032	2969
258	1035	2962
259	1038	2955
260	1041	2949
261	1045	2945
262	1048	2939
263	1051	2932
264	1054	2925
265	1058	2920
266	1061	2914
267	1064	2907
268	1067	2901
269	1071	2895
270	1074	2890
271	1078	2885
272	1081	2880
273	1085	2876
274	1089	2871
275	1092	2865
276	1097	2863
277	1100	2858
278	1105	2855
279	1109	2852
280	1112	2847
281	1116	2841
282	1119	2836
283	1123	2831
284	1126	2826
285	1129	2820
286	1132	2814
287	1136	2809
288	1141	2808
289	1145	2803
290	1148	2797
291	1151	2792
292	1155	2788
293	1158	2781
294	1161	2775
295	1164	2769
296	1168	2766
297	1172	2761
298	1175	2756
299	1178	2750
300	1182	2747
301	1186	2742
302	1189	2736
303	1192	2730
304	1195	2724
305	1198	2717
306	1201	2713
307	1204	2707
308	1208	2701
309	1211	2697
310	1214	2691
311	1219	2688
312	1222	2683
313	1225	2677
314	1228	2671
315	1231	2665
316	1234	2660
317	1238	2656
318	1241	2651
319	1244	2644
320	1247	2638
321	1251	2635
322	1254	2629
323	1257	2624
324	1260	2618
325	1263	2613
326	1267	2609
327	1271	2604
328	1274	2598
329	1277	2593
330	1280	2587
331	1283	2582
332	1287	2578
333	1290	2573
334	1293	2567
335	1296	2562
336	1300	2558
337	1304	2554
338	1307	2549
339	1311	2545
340	1315	2541
341	1319	2538
342	1322	2532
343	1325	2527
344	1328	2522
345	1332	2518
346	1334	2512
347	1337	2506
348	1340	2500
349	1343	2495
350	1347	2491
351	1351	2487
352	1354	2482
353	1357	2476
354	1360	2471
355	1363	2467
356	1367	2462
357	1370	2457
358	1373	2452
359	1376	2446
360	1379	2441
361	1382	2436
362	1385	2430
363	1387	2425
364	1390	2419
365	1394	2416
366	1397	2411
367	1400	2405
368	1403	2400
369	1407	2395
370	1411	2393
371	1416	2390
372	1419	2386
373	1423	2382
374	1426	2377
375	1430	2374
376	1434	2370
377	1438	2366
378	1442	2363
379	1446	2360
380	1450	2355
381	1453	2351
382	1457	2347
383	1460	2343
384	1463	2337
385	1466	2332
386	1469	2328
387	1473	2323
388	1476	2318
389	1479	2314
390	1482	2309
391	1485	2304
392	1489	2300
393	1493	2296
394	1496	2291
395	1500	2288
396	1503	2283
397	1507	2280
398	1511	2277
399	1515	2272
400	1518	2268
401	1523	2265
402	1526	2261
403	1529	2255
404	1532	2251
405	1535	2247
406	1540	2244
407	1543	2239
408	1546	2234
409	1549	2229
410	1552	2225
411	1556	2221
412	1559	2216
413	1562	2211
414	1565	2206
415	1568	2202
416	1572	2198
417	1575	2193
418	1578	2188
419	1581	2184
420	1585	2179
421	1589	2176
422	1592	2171
423	1594	2166
424	1598	2162
425	1601	2157
426	1604	2153
427	1609	2150
428	1612	2146
429	1615	2141
430	1619	2138
431	1622	2133
432	1625	2129
433	1628	2124
434	1632	2120
435	1636	2116
436	1639	2112
437	1642	2107
438	1646	2103
439	1649	2099
440	1654	2096
441	1657	2092
442	1660	2087
443	1664	2084
444	1668	2081
445	1671	2076
446	1674	2071
447	1677	2066
448	1681	2063
449	1685	2059
450	1687	2054
451	1690	2049
452	1694	2045
453	1698	2042
454	1701	2038
455	1706	2035
456	1709	2030
457	1712	2026
458	1716	2022
459	1719	2018
460	1722	2013
461	1725	2008
462	1729	2005
463	1732	2001
464	1735	1996
465	1738	1992
466	1742	1988
467	1746	1984
468	1749	1981
469	1753	1976
470	1756	1972
471	1759	1968
472	1763	1964
473	1766	1960
474	1769	1956
475	1772	1951
476	1776	1947
477	1780	1944
478	1783	1939
479	1786	1935
480	1789	1930
481	1793	1927
482	1796	1923
483	1800	1919
484	1803	1914
485	1806	1910
486	1810	1907
487	1813	1902
488	1816	1898
489	1819	1894
490	1823	1890
491	1827	1886
492	1830	1882
493	1833	1878
494	1836	1873
495	1840	1870
496	1844	1866
497	1847	1862
498	1850	1857
499	1854	1854
500	1857	1850
501	1861	1846
502	1865	1843
503	1868	1838
504	1871	1834
505	1876	1831
506	1879	1827
507	1882	1823
508	1886	1819
509	1889	1815
510	1895	1814
511	1906	1817
512	1912	1815
513	1915	1810
514	1918	1806
515	1923	1803
516	1926	1799
517	1929	1795
518	1932	1790
519	1936	1787
520	1939	1783
521	1943	1779
522	1946	1775
523	1950	1772
524	1954	1768
525	1958	1764
526	1961	1760
527	1964	1756
528	1968	1752
529	1971	1748
530	1974	1744
531	1978	1740
532	1981	1735
533	1985	1732
534	1988	1727
535	1991	1723
536	1994	1719
537	1997	1715
538	2013	1722
539	2019	1720
540	2024	1717
541	2029	1714
542	2033	1711
543	2037	1708
544	2042	1704
545	2047	1702
546	2051	1698
547	2054	1694
548	2058	1691
549	2062	1687
550	2066	1683
551	2070	1680
552	2074	1676
553	2078	1673
554	2082	1669
555	2086	1666
556	2091	1663
557	2096	1660
558	2100	1657
559	2104	1653
560	2107	1649
561	2111	1645
562	2115	1642
563	2119	1638
564	2123	1634
565	2127	1631
566	2132	1628
567	2135	1624
568	2140	1621
569	2144	1618
570	2163	1625
571	2166	1621
572	2170	1617
573	2174	1614
574	2180	1611
575	2184	1608
576	2189	1604
577	2194	1601
578	2198	1598
579	2202	1595
580	2206	1591
581	2211	1588
582	2215	1584
583	2220	1581
584	2225	1578
585	2229	1575
586	2233	1571
587	2238	1568
588	2243	1565
589	2247	1561
590	2252	1558
591	2257	1556
592	2262	1553
593	2267	1549
594	2274	1547
595	2278	1544
596	2283	1541
597	2289	1538
598	2294	1535
599	2298	1532
600	2303	1528
601	2307	1525
602	2310	1521
603	2313	1516
604	2316	1512
605	2320	1508
606	2324	1504
607	2327	1500
608	2330	1496
609	2333	1492
610	2337	1488
611	2341	1484
612	2344	1480
613	2347	1475
614	2351	1472
615	2355	1468
616	2359	1464
617	2363	1461
618	2368	1457
619	2371	1453
620	2376	1450
621	2380	1446
622	2384	1442
623	2389	1439
624	2392	1435
625	2395	1431
626	2400	1428
627	2404	1424
628	2407	1420
629	2410	1415
630	2414	1412
631	2419	1408
632	2423	1405
633	2427	1401
634	2430	1397
635	2434	1393
636	2437	1389
637	2440	1384
638	2443	1380
639	2447	1376
640	2450	1372
641	2453	1368
642	2456	1363
643	2459	1359
644	2463	1355
645	2467	1352
646	2470	1347
647	2473	1343
648	2476	1339
649	2479	1335
650	2484	1332
651	2489	1328
652	2492	1324
653	2496	1320
654	2510	1322
655	2514	1318
656	2518	1314
657	2521	1310
658	2526	1307
659	2529	1303
660	2533	1299
661	2537	1295
662	2541	1291
663	2544	1287
664	2550	1284
665	2553	1280
666	2557	1276
667	2562	1273
668	2565	1269
669	2570	1265
670	2574	1262
671	2578	1258
672	2583	1255
673	2587	1251
674	2592	1248
675	2596	1244
676	2601	1241
677	2606	1237
678	2610	1234
679	2615	1230
680	2619	1227
681	2624	1223
682	2628	1220
683	2633	1216
684	2638	1213
685	2643	1209
686	2648	1206
687	2653	1203
688	2658	1200
689	2663	1196
690	2667	1192
691	2671	1189
692	2675	1185
693	2679	1181
694	2683	1177
695	2693	1176
696	2698	1173
697	2702	1169
698	2705	1164
699	2708	1160
700	2711	1156
701	2714	1152
702	2717	1148
703	2720	1144
704	2723	1139
705	2726	1135
706	2729	1131
707	2733	1127
708	2736	1123
709	2739	1118
710	2742	1114
711	2745	1110
712	2748	1106
713	2751	1102
714	2754	1098
715	2757	1093
716	2760	1089
717	2763	1085
718	2766	1081
719	2770	1077
720	2773	1073
721	2776	1068
722	2780	1065
723	2783	1061
724	2786	1056
725	2789	1052
726	2792	1048
727	2795	1044
728	2798	1040
729	2803	1036
730	2806	1032
731	2809	1028
732	2813	1024
733	2817	1020
734	2820	1016
735	2823	1012
736	2826	1008
737	2831	1005
738	2834	1001
739	2837	996
740	2840	992
741	2844	988
742	2847	984
743	2850	980
744	2853	976
745	2856	972
746	2860	968
747	2864	965
748	2867	961
749	2871	957
750	2875	953
751	2878	949
752	2882	945
753	2885	941
754	2888	937
755	2891	933
756	2895	929
757	2898	925
758	2901	921
759	2904	917
760	2908	913
761	2912	909
762	2915	905
763	2918	901
764	2922	897
765	2926	893
766	2929	889
767	2932	885
768	2935	881
769	2939	877
770	2942	873
771	2945	869
772	2948	865
773	2951	861
774	2954	857
775	2958	854
776	2961	850
777	2965	846
778	2968	842
779	2971	838
780	2975	834
781	2978	830
782	2981	826
783	2984	822
784	2988	818
785	2992	814
786	2995	810
787	2998	806
788	3001	802
789	3005	798
790	3008	794
791	3011	790
792	3015	787
793	3018	783
794	3022	779
795	3026	775
796	3029	771
797	3032	767
798	3036	763
799	3039	759
800	3043	756
801	3046	752
802	3049	748
803	3053	744
804	3056	740
805	3060	736
806	3063	732
807	3067	728
808	3071	725
809	3075	721
810	3079	717
811	3083	714
812	3088	710
813	3091	706
814	3094	702
815	3097	698
816	3101	694
817	3104	690
818	3107	686
819	3110	682
820	3113	678
821	3117	675
822	3120	671
823	3123	667
824	3126	663
825	3129	659
826	3133	655
827	3137	651
828	3140	647
829	3143	643
830	3147	640
831	3150	636
832	3153	632
833	3157	628
834	3160	624
835	3164	620
836	3167	616
837	3170	612
838	3173	609
839	3177	605
840	3180	601
841	3183	597
842	3186	593
843	3190	589
844	3193	585
845	3197	581
846	3199	578
847	3203	574
848	3206	570
849	3209	566
850	3213	562
851	3217	558
852	3220	554
853	3223	551
854	3228	547
855	3231	543
856	3236	540
857	3239	536
858	3243	532
859	3247	528
860	3251	524
861	3254	521
862	3258	517
863	3268	514
864	3276	511
865	3283	508
866	3293	505
867	3301	502
868	3314	499
869	3318	495
870	3326	492
871	3333	489
872	3340	485
873	3345	482
874	3349	478
875	3353	474
876	3359	471
877	3363	467
878	3367	463
879	3372	459
880	3376	456
881	3380	452
882	3383	448
883	3388	444
884	3391	440
885	3395	436
886	3398	432
887	3404	429
888	3408	425
889	3411	421
890	3414	417
891	3419	413
892	3422	410
893	3425	406
894	3428	402
895	3431	398
896	3435	394
897	3439	390
898	3442	386
899	3445	382
900	3448	378
901	3452	375
902	3455	371
903	3458	367
904	3461	363
905	3465	359
906	3470	355
907	3474	352
908	3477	348
909	3480	344
910	3484	340
911	3488	336
912	3491	332
913	3494	328
914	3498	325
915	3501	321
916	3505	317
917	3508	313
918	3511	309
919	3515	305
920	3518	301
921	3521	297
922	3525	294
923	3528	290
924	3532	286
925	3535	282
926	3538	278
927	3541	274
928	3545	270
929	3548	267
930	3551	263
931	3555	259
932	3558	255
933	3562	251
934	3566	247
935	3569	244
936	3572	240
937	3575	236
938	3580	232
939	3583	228
940	3586	224
941	3589	221
942	3592	217
943	3596	213
944	3600	209
945	3603	205
946	3606	201
947	3611	198
948	3614	194
949	3617	190
950	3620	186
951	3623	182
952	3627	178
953	3630	175
954	3633	171
955	3637	167
956	3640	163
957	3644	159
958	3647	155
959	3650	152
960	3653	148
961	3656	144
962	3661	140
963	3671	137
964	3676	133
965	3680	129
966	3684	125
967	3687	121
968	3691	118
969	3694	114
970	3697	110
971	3700	106
972	3704	102
973	3708	98
974	3711	95
975	3714	91
976	3718	87
977	3721	83
978	3725	79
979	3728	76
980	3731	72
981	3734	68
982	3738	64
983	3741	60
984	3744	57
985	3747	53
986	3750	49
987	3754	45
988	3757	41
989	3760	37
990	3763	34
991	3766	30
992	3770	26
993	3774	22
994	3777	18
995	3780	15
996	3783	11
997	3787	7
998	3791	3
999	3794	0
